oktmo,name,year,cinemas
1603000,Баевский муниципальный район,2007,1.0
1603000,Баевский муниципальный район,2008,1.0
1603000,Баевский муниципальный район,2009,1.0
1603000,Баевский муниципальный район,2010,1.0
1603000,Баевский муниципальный район,2011,1.0
1603000,Баевский муниципальный район,2012,1.0
1603407,Баевский сельсовет,2007,1.0
1603407,Баевский сельсовет,2008,1.0
1603407,Баевский сельсовет,2009,1.0
1603407,Баевский сельсовет,2010,1.0
1603407,Баевский сельсовет,2011,1.0
1603407,Баевский сельсовет,2012,1.0
1604000,Бийский муниципальный район,2007,1.0
1604000,Бийский муниципальный район,2008,1.0
1604000,Бийский муниципальный район,2009,1.0
1604000,Бийский муниципальный район,2010,1.0
1604000,Бийский муниципальный район,2011,1.0
1604483,Сростинский сельсовет,2007,1.0
1604483,Сростинский сельсовет,2008,1.0
1604483,Сростинский сельсовет,2009,1.0
1604483,Сростинский сельсовет,2010,1.0
1604483,Сростинский сельсовет,2011,1.0
1605157,Степноозёрский поссовет,2008,0.0
1606000,Бурлинский муниципальный район,2007,15.0
1606000,Бурлинский муниципальный район,2008,8.0
1606000,Бурлинский муниципальный район,2009,9.0
1606000,Бурлинский муниципальный район,2010,3.0
1606000,Бурлинский муниципальный район,2011,3.0
1606000,Бурлинский муниципальный район,2012,3.0
1606403,Асямовский сельсовет,2007,1.0
1606411,Бурлинский сельсовет,2007,1.0
1606411,Бурлинский сельсовет,2008,1.0
1606411,Бурлинский сельсовет,2009,1.0
1606411,Бурлинский сельсовет,2010,1.0
1606411,Бурлинский сельсовет,2011,1.0
1606411,Бурлинский сельсовет,2012,1.0
1606422,Михайловский сельсовет,2007,3.0
1606422,Михайловский сельсовет,2008,1.0
1606422,Михайловский сельсовет,2009,1.0
1606422,Михайловский сельсовет,2010,1.0
1606422,Михайловский сельсовет,2011,1.0
1606422,Михайловский сельсовет,2012,1.0
1606430,Новоандреевский сельсовет,2007,1.0
1606430,Новоандреевский сельсовет,2008,1.0
1606430,Новоандреевский сельсовет,2009,1.0
1606433,Новопесчанский сельсовет,2007,2.0
1606433,Новопесчанский сельсовет,2009,1.0
1606444,Новосельский сельсовет,2007,1.0
1606444,Новосельский сельсовет,2009,1.0
1606455,Ореховский сельсовет,2007,2.0
1606455,Ореховский сельсовет,2008,1.0
1606466,Партизанский сельсовет,2007,2.0
1606466,Партизанский сельсовет,2008,2.0
1606466,Партизанский сельсовет,2009,2.0
1606470,Рожковский сельсовет,2007,1.0
1606470,Рожковский сельсовет,2008,1.0
1606470,Рожковский сельсовет,2009,1.0
1606477,Устьянский сельсовет,2007,1.0
1606477,Устьянский сельсовет,2008,1.0
1606477,Устьянский сельсовет,2009,1.0
1606477,Устьянский сельсовет,2010,1.0
1606477,Устьянский сельсовет,2011,1.0
1606477,Устьянский сельсовет,2012,1.0
1607000,Быстроистокский муниципальный район,2007,2.0
1607000,Быстроистокский муниципальный район,2008,4.0
1607000,Быстроистокский муниципальный район,2009,4.0
1607000,Быстроистокский муниципальный район,2010,1.0
1607000,Быстроистокский муниципальный район,2012,1.0
1607405,Быстроистокский сельсовет,2007,1.0
1607405,Быстроистокский сельсовет,2008,1.0
1607405,Быстроистокский сельсовет,2009,1.0
1607405,Быстроистокский сельсовет,2010,1.0
1607405,Быстроистокский сельсовет,2012,1.0
1607411,Верх-Ануйский сельсовет,2008,1.0
1607411,Верх-Ануйский сельсовет,2009,1.0
1607433,Новопокровский сельсовет,2007,1.0
1607433,Новопокровский сельсовет,2008,1.0
1607433,Новопокровский сельсовет,2009,1.0
1607455,Хлеборобный сельсовет,2008,1.0
1607455,Хлеборобный сельсовет,2009,1.0
1608000,Волчихинский муниципальный район,2008,1.0
1608000,Волчихинский муниципальный район,2009,3.0
1608000,Волчихинский муниципальный район,2010,2.0
1608000,Волчихинский муниципальный район,2011,2.0
1608000,Волчихинский муниципальный район,2012,2.0
1608421,Волчихинский сельсовет,2009,1.0
1608478,Солоновский сельсовет,2008,1.0
1608478,Солоновский сельсовет,2009,1.0
1608478,Солоновский сельсовет,2010,1.0
1608478,Солоновский сельсовет,2011,1.0
1608478,Солоновский сельсовет,2012,1.0
1608489,Усть-Волчихинский сельсовет,2009,1.0
1608489,Усть-Волчихинский сельсовет,2010,1.0
1608489,Усть-Волчихинский сельсовет,2011,1.0
1608489,Усть-Волчихинский сельсовет,2012,1.0
1610000,Ельцовский муниципальный район,2007,5.0
1610000,Ельцовский муниципальный район,2008,5.0
1610000,Ельцовский муниципальный район,2009,5.0
1610000,Ельцовский муниципальный район,2010,4.0
1610000,Ельцовский муниципальный район,2011,4.0
1610422,Ельцовский сельсовет,2007,1.0
1610422,Ельцовский сельсовет,2008,1.0
1610422,Ельцовский сельсовет,2009,1.0
1610422,Ельцовский сельсовет,2010,1.0
1610422,Ельцовский сельсовет,2011,1.0
1610433,Мартыновский сельсовет,2007,1.0
1610433,Мартыновский сельсовет,2008,1.0
1610433,Мартыновский сельсовет,2009,1.0
1610444,Новокаменский сельсовет,2007,1.0
1610444,Новокаменский сельсовет,2008,1.0
1610444,Новокаменский сельсовет,2009,1.0
1610444,Новокаменский сельсовет,2010,1.0
1610444,Новокаменский сельсовет,2011,1.0
1610466,Пуштулимский сельсовет,2007,1.0
1610466,Пуштулимский сельсовет,2008,1.0
1610466,Пуштулимский сельсовет,2009,1.0
1610466,Пуштулимский сельсовет,2010,1.0
1610466,Пуштулимский сельсовет,2011,1.0
1610488,Черемшанский сельсовет,2007,1.0
1610488,Черемшанский сельсовет,2008,1.0
1610488,Черемшанский сельсовет,2009,1.0
1610488,Черемшанский сельсовет,2010,1.0
1610488,Черемшанский сельсовет,2011,1.0
1611000,Завьяловский муниципальный район,2008,1.0
1611000,Завьяловский муниципальный район,2009,1.0
1611000,Завьяловский муниципальный район,2010,1.0
1611411,Гилёвский сельсовет,2008,1.0
1611411,Гилёвский сельсовет,2009,1.0
1611411,Гилёвский сельсовет,2010,1.0
1612000,Залесовский муниципальный район,2008,1.0
1612000,Залесовский муниципальный район,2009,1.0
1612426,Залесовский сельсовет,2008,1.0
1612426,Залесовский сельсовет,2009,1.0
1613000,Заринский муниципальный район,2007,12.0
1613000,Заринский муниципальный район,2008,12.0
1613000,Заринский муниципальный район,2009,12.0
1613000,Заринский муниципальный район,2010,11.0
1613000,Заринский муниципальный район,2011,8.0
1613000,Заринский муниципальный район,2012,6.0
1613420,Верх-Камышенский сельсовет,2007,1.0
1613420,Верх-Камышенский сельсовет,2008,1.0
1613420,Верх-Камышенский сельсовет,2009,1.0
1613420,Верх-Камышенский сельсовет,2010,1.0
1613428,Голухинский сельсовет,2007,1.0
1613428,Голухинский сельсовет,2008,1.0
1613428,Голухинский сельсовет,2009,1.0
1613428,Голухинский сельсовет,2010,1.0
1613428,Голухинский сельсовет,2011,1.0
1613428,Голухинский сельсовет,2012,1.0
1613430,Гоношихинский сельсовет,2007,1.0
1613430,Гоношихинский сельсовет,2008,1.0
1613430,Гоношихинский сельсовет,2009,1.0
1613430,Гоношихинский сельсовет,2010,1.0
1613434,Гришинский сельсовет,2007,1.0
1613434,Гришинский сельсовет,2008,1.0
1613434,Гришинский сельсовет,2009,1.0
1613434,Гришинский сельсовет,2010,1.0
1613434,Гришинский сельсовет,2011,1.0
1613436,Жуланихинский сельсовет,2007,1.0
1613436,Жуланихинский сельсовет,2008,1.0
1613436,Жуланихинский сельсовет,2009,1.0
1613436,Жуланихинский сельсовет,2010,1.0
1613436,Жуланихинский сельсовет,2011,1.0
1613436,Жуланихинский сельсовет,2012,1.0
1613460,Новодраченинский сельсовет,2007,1.0
1613460,Новодраченинский сельсовет,2008,1.0
1613460,Новодраченинский сельсовет,2009,1.0
1613461,Новозыряновский сельсовет,2007,1.0
1613461,Новозыряновский сельсовет,2008,1.0
1613461,Новозыряновский сельсовет,2009,1.0
1613461,Новозыряновский сельсовет,2010,1.0
1613464,Новокопыловский сельсовет,2007,1.0
1613464,Новокопыловский сельсовет,2008,1.0
1613464,Новокопыловский сельсовет,2009,1.0
1613464,Новокопыловский сельсовет,2010,1.0
1613464,Новокопыловский сельсовет,2011,1.0
1613464,Новокопыловский сельсовет,2012,1.0
1613468,Новомоношкинский сельсовет,2007,1.0
1613468,Новомоношкинский сельсовет,2008,1.0
1613468,Новомоношкинский сельсовет,2009,1.0
1613468,Новомоношкинский сельсовет,2010,1.0
1613468,Новомоношкинский сельсовет,2011,1.0
1613468,Новомоношкинский сельсовет,2012,1.0
1613478,Сосновский сельсовет,2007,1.0
1613478,Сосновский сельсовет,2008,1.0
1613478,Сосновский сельсовет,2009,1.0
1613478,Сосновский сельсовет,2010,1.0
1613478,Сосновский сельсовет,2011,1.0
1613478,Сосновский сельсовет,2012,1.0
1613488,Тягунский сельсовет,2007,1.0
1613488,Тягунский сельсовет,2008,1.0
1613488,Тягунский сельсовет,2009,1.0
1613488,Тягунский сельсовет,2010,1.0
1613488,Тягунский сельсовет,2011,1.0
1613488,Тягунский сельсовет,2012,1.0
1613496,Яновский сельсовет,2007,1.0
1613496,Яновский сельсовет,2008,1.0
1613496,Яновский сельсовет,2009,1.0
1613496,Яновский сельсовет,2010,1.0
1613496,Яновский сельсовет,2011,1.0
1614000,Змеиногорский муниципальный район,2007,7.0
1614000,Змеиногорский муниципальный район,2008,9.0
1614000,Змеиногорский муниципальный район,2009,8.0
1614000,Змеиногорский муниципальный район,2010,7.0
1614000,Змеиногорский муниципальный район,2011,7.0
1614000,Змеиногорский муниципальный район,2012,8.0
1614101,город Змеиногорск,2009,1.0
1614101,город Змеиногорск,2010,1.0
1614101,город Змеиногорск,2011,1.0
1614101,город Змеиногорск,2012,2.0
1614422,Барановский сельсовет,2007,2.0
1614422,Барановский сельсовет,2008,2.0
1614422,Барановский сельсовет,2009,2.0
1614422,Барановский сельсовет,2010,1.0
1614422,Барановский сельсовет,2011,1.0
1614422,Барановский сельсовет,2012,1.0
1614433,Карамышевский сельсовет,2007,2.0
1614433,Карамышевский сельсовет,2008,2.0
1614433,Карамышевский сельсовет,2009,2.0
1614433,Карамышевский сельсовет,2010,1.0
1614433,Карамышевский сельсовет,2011,1.0
1614433,Карамышевский сельсовет,2012,1.0
1614444,Кузьминский сельсовет,2007,1.0
1614444,Кузьминский сельсовет,2008,1.0
1614444,Кузьминский сельсовет,2009,1.0
1614444,Кузьминский сельсовет,2010,1.0
1614444,Кузьминский сельсовет,2011,1.0
1614444,Кузьминский сельсовет,2012,1.0
1614455,Октябрьский сельсовет,2008,1.0
1614455,Октябрьский сельсовет,2009,1.0
1614455,Октябрьский сельсовет,2010,1.0
1614455,Октябрьский сельсовет,2011,1.0
1614455,Октябрьский сельсовет,2012,1.0
1614466,Саввушинский сельсовет,2007,2.0
1614466,Саввушинский сельсовет,2008,1.0
1614466,Саввушинский сельсовет,2009,1.0
1614466,Саввушинский сельсовет,2010,1.0
1614466,Саввушинский сельсовет,2011,1.0
1614466,Саввушинский сельсовет,2012,1.0
1614477,Таловский сельсовет,2008,1.0
1614477,Таловский сельсовет,2010,1.0
1614477,Таловский сельсовет,2011,1.0
