oktmo,name,year,fallinghousesdwellers
1601000,Алейский муниципальный район,2012,10.0
1601402,Алейский сельсовет,2012,10.0
1602000,Алтайский муниципальный район,2007,30.0
1602000,Алтайский муниципальный район,2008,30.0
1602000,Алтайский муниципальный район,2009,30.0
1602000,Алтайский муниципальный район,2010,100.0
1602000,Алтайский муниципальный район,2011,100.0
1602405,Айский сельсовет,2007,10.0
1602405,Айский сельсовет,2008,10.0
1602405,Айский сельсовет,2009,10.0
1602405,Айский сельсовет,2010,100.0
1602405,Айский сельсовет,2011,100.0
1602412,Беловский сельсовет,2007,20.0
1602412,Беловский сельсовет,2008,20.0
1602412,Беловский сельсовет,2009,20.0
1603000,Баевский муниципальный район,2009,20.0
1603000,Баевский муниципальный район,2013,11.0
1603000,Баевский муниципальный район,2014,16.0
1603407,Баевский сельсовет,2009,6.0
1603407,Баевский сельсовет,2013,11.0
1603407,Баевский сельсовет,2014,16.0
1603455,Паклинский сельсовет,2009,6.0
1603458,Плотавский сельсовет,2009,2.0
1603480,Ситниковский сельсовет,2008,0.0
1603480,Ситниковский сельсовет,2009,6.0
1604000,Бийский муниципальный район,2010,134.0
1604000,Бийский муниципальный район,2011,137.0
1604000,Бийский муниципальный район,2012,137.0
1604000,Бийский муниципальный район,2013,154.0
1604000,Бийский муниципальный район,2014,375.0
1604417,Верх-Катунский сельсовет,2010,11.0
1604417,Верх-Катунский сельсовет,2011,11.0
1604417,Верх-Катунский сельсовет,2012,11.0
1604417,Верх-Катунский сельсовет,2013,11.0
1604417,Верх-Катунский сельсовет,2014,11.0
1604422,Енисейский сельсовет,2014,44.0
1604437,Лесной сельсовет,2010,84.0
1604437,Лесной сельсовет,2011,87.0
1604437,Лесной сельсовет,2012,87.0
1604437,Лесной сельсовет,2013,96.0
1604437,Лесной сельсовет,2014,96.0
1604459,Малоугреневский сельсовет,2010,25.0
1604459,Малоугреневский сельсовет,2011,25.0
1604459,Малоугреневский сельсовет,2012,25.0
1604459,Малоугреневский сельсовет,2013,33.0
1604459,Малоугреневский сельсовет,2014,187.0
1604464,Новиковский сельсовет,2014,5.0
1604480,Светлоозёрский сельсовет,2014,5.0
1604483,Сростинский сельсовет,2010,14.0
1604483,Сростинский сельсовет,2011,14.0
1604483,Сростинский сельсовет,2012,14.0
1604483,Сростинский сельсовет,2013,14.0
1604483,Сростинский сельсовет,2014,14.0
1604488,Усятский сельсовет,2014,13.0
1606000,Бурлинский муниципальный район,2007,53.0
1606000,Бурлинский муниципальный район,2008,53.0
1606000,Бурлинский муниципальный район,2009,53.0
1606000,Бурлинский муниципальный район,2010,76.0
1606000,Бурлинский муниципальный район,2011,60.0
1606000,Бурлинский муниципальный район,2012,11.0
1606000,Бурлинский муниципальный район,2013,10.0
1606000,Бурлинский муниципальный район,2014,10.0
1606411,Бурлинский сельсовет,2007,53.0
1606411,Бурлинский сельсовет,2008,53.0
1606411,Бурлинский сельсовет,2009,53.0
1606411,Бурлинский сельсовет,2010,75.0
1606411,Бурлинский сельсовет,2011,60.0
1606411,Бурлинский сельсовет,2012,10.0
1606411,Бурлинский сельсовет,2013,10.0
1606411,Бурлинский сельсовет,2014,10.0
1606444,Новосельский сельсовет,2010,1.0
1606477,Устьянский сельсовет,2012,1.0
1607000,Быстроистокский муниципальный район,2011,10.0
1607000,Быстроистокский муниципальный район,2012,10.0
1607405,Быстроистокский сельсовет,2011,10.0
1607405,Быстроистокский сельсовет,2012,10.0
1609000,Егорьевский муниципальный район,2014,31.0
1609422,Лебяжинский сельсовет,2014,8.0
1609428,Малошелковниковский сельсовет,2014,16.0
1609455,Сростинский сельсовет,2014,5.0
1609466,Титовский сельсовет,2014,2.0
1610000,Ельцовский муниципальный район,2007,30.0
1610000,Ельцовский муниципальный район,2008,34.0
1610000,Ельцовский муниципальный район,2009,110.0
1610000,Ельцовский муниципальный район,2010,200.0
1610000,Ельцовский муниципальный район,2011,200.0
1610000,Ельцовский муниципальный район,2012,222.0
1610000,Ельцовский муниципальный район,2013,200.0
1610000,Ельцовский муниципальный район,2014,200.0
1610422,Ельцовский сельсовет,2007,26.0
1610422,Ельцовский сельсовет,2008,27.0
1610422,Ельцовский сельсовет,2009,104.0
1610422,Ельцовский сельсовет,2010,27.0
1610422,Ельцовский сельсовет,2012,12.0
