oktmo,name,year,hospitalcap
1601000,Алейский муниципальный район,2008,150.0
1601000,Алейский муниципальный район,2009,150.0
1601000,Алейский муниципальный район,2010,150.0
1601000,Алейский муниципальный район,2011,92.0
1601000,Алейский муниципальный район,2012,10.0
1601000,Алейский муниципальный район,2013,10.0
1601417,Боровской сельсовет,2008,50.0
1601417,Боровской сельсовет,2009,50.0
1601417,Боровской сельсовет,2010,50.0
1601417,Боровской сельсовет,2011,30.0
1601464,Моховской сельсовет,2008,50.0
1601464,Моховской сельсовет,2009,50.0
1601464,Моховской сельсовет,2010,50.0
1601464,Моховской сельсовет,2011,30.0
1601464,Моховской сельсовет,2012,10.0
1601464,Моховской сельсовет,2013,10.0
1601468,Осколковский сельсовет,2008,50.0
1601468,Осколковский сельсовет,2009,50.0
1601468,Осколковский сельсовет,2010,50.0
1601468,Осколковский сельсовет,2011,32.0
1602000,Алтайский муниципальный район,2008,440.0
1602000,Алтайский муниципальный район,2009,400.0
1602000,Алтайский муниципальный район,2010,430.0
1602000,Алтайский муниципальный район,2011,326.0
1602000,Алтайский муниципальный район,2012,128.0
1602000,Алтайский муниципальный район,2013,128.0
1602405,Айский сельсовет,2008,30.0
1602405,Айский сельсовет,2009,30.0
1602405,Айский сельсовет,2010,30.0
1602405,Айский сельсовет,2011,20.0
1602405,Айский сельсовет,2012,10.0
1602405,Айский сельсовет,2013,5.0
1602407,Алтайский сельсовет,2008,380.0
1602407,Алтайский сельсовет,2009,340.0
1602407,Алтайский сельсовет,2010,370.0
1602407,Алтайский сельсовет,2011,286.0
1602407,Алтайский сельсовет,2012,113.0
1602407,Алтайский сельсовет,2013,118.0
1602423,Куяганский сельсовет,2008,30.0
1602423,Куяганский сельсовет,2009,30.0
1602423,Куяганский сельсовет,2010,30.0
1602423,Куяганский сельсовет,2011,20.0
1602423,Куяганский сельсовет,2012,5.0
1602423,Куяганский сельсовет,2013,5.0
1603000,Баевский муниципальный район,2008,286.0
1603000,Баевский муниципальный район,2009,266.0
1603000,Баевский муниципальный район,2010,246.0
1603000,Баевский муниципальный район,2011,142.0
1603000,Баевский муниципальный район,2012,71.0
1603000,Баевский муниципальный район,2013,66.0
1603407,Баевский сельсовет,2008,246.0
1603407,Баевский сельсовет,2009,246.0
1603407,Баевский сельсовет,2010,246.0
1603407,Баевский сельсовет,2011,142.0
1603407,Баевский сельсовет,2012,71.0
1603407,Баевский сельсовет,2013,66.0
1603416,Верх-Пайвинский сельсовет,2008,20.0
1603416,Верх-Пайвинский сельсовет,2009,20.0
1603480,Ситниковский сельсовет,2008,20.0
1604000,Бийский муниципальный район,2008,496.0
1604000,Бийский муниципальный район,2009,458.0
1604000,Бийский муниципальный район,2010,458.0
1604000,Бийский муниципальный район,2011,372.0
1604000,Бийский муниципальный район,2012,177.0
1604000,Бийский муниципальный район,2013,170.0
1604455,Малоенисейский сельсовет,2008,80.0
1604455,Малоенисейский сельсовет,2009,40.0
1604455,Малоенисейский сельсовет,2010,40.0
1604455,Малоенисейский сельсовет,2011,30.0
1604455,Малоенисейский сельсовет,2012,10.0
