oktmo,name,year,munipoliceworkers
1601000,Алейский муниципальный район,2006,2.0
1601420,Дружбинский сельсовет,2006,1.0
1601468,Осколковский сельсовет,2006,1.0
1602000,Алтайский муниципальный район,2006,7.0
1602000,Алтайский муниципальный район,2007,6.0
1602000,Алтайский муниципальный район,2008,1.0
1602000,Алтайский муниципальный район,2009,1.0
1602000,Алтайский муниципальный район,2010,1.0
1602000,Алтайский муниципальный район,2011,1.0
1602000,Алтайский муниципальный район,2012,1.0
1602407,Алтайский сельсовет,2006,5.0
1602407,Алтайский сельсовет,2007,5.0
1602423,Куяганский сельсовет,2006,1.0
1602423,Куяганский сельсовет,2007,1.0
1602423,Куяганский сельсовет,2008,1.0
1602423,Куяганский сельсовет,2009,1.0
1602423,Куяганский сельсовет,2010,1.0
1602423,Куяганский сельсовет,2011,1.0
1602423,Куяганский сельсовет,2012,1.0
1602479,Старобелокурихинский сельсовет,2006,1.0
1605000,Благовещенский муниципальный район,2007,8.0
1605000,Благовещенский муниципальный район,2008,0.0
1605151,Благовещенский поссовет,2007,8.0
1605151,Благовещенский поссовет,2008,0.0
1605157,Степноозёрский поссовет,2008,0.0
1605436,Леньковский сельсовет,2008,0.0
1610000,Ельцовский муниципальный район,2006,1.0
1611000,Завьяловский муниципальный район,2006,1.0
1611000,Завьяловский муниципальный район,2007,1.0
1611434,Завьяловский сельсовет,2006,1.0
1611434,Завьяловский сельсовет,2007,1.0
1615000,Калманский муниципальный район,2008,0.0
1615409,Бурановский сельсовет,2008,0.0
1615425,Калистратихинский сельсовет,2008,0.0
1615435,Кубанский сельсовет,2006,0.0
1615457,Новоромановский сельсовет,2008,0.0
1615485,Шадринский сельсовет,2008,0.0
1617000,Ключевский муниципальный район,2006,106.0
1617000,Ключевский муниципальный район,2011,12.0
1617424,Ключевский сельсовет,2006,106.0
1617468,Покровский сельсовет,2011,12.0
1618412,ND,2007,0.0
1618434,Косихинский сельсовет,2007,0.0
1618460,Налобихинский сельсовет,2007,0.0
1619000,Красногорский муниципальный район,2007,4.0
1619000,Красногорский муниципальный район,2009,26.0
