oktmo,name,year,pollutcapturedperc
1601000,Алейский муниципальный район,2017,3.6
1602000,Алтайский муниципальный район,2014,37.3
1602000,Алтайский муниципальный район,2015,52.3
1602000,Алтайский муниципальный район,2016,40.8
1602000,Алтайский муниципальный район,2017,43.5
1603000,Баевский муниципальный район,2014,47.9
1603000,Баевский муниципальный район,2015,37.5
1603000,Баевский муниципальный район,2016,15.2
1603000,Баевский муниципальный район,2017,16.5
1604000,Бийский муниципальный район,2014,12.9
1604000,Бийский муниципальный район,2015,20.4
1604000,Бийский муниципальный район,2016,8.9
1604000,Бийский муниципальный район,2017,8.8
1605000,Благовещенский муниципальный район,2014,88.8
1605000,Благовещенский муниципальный район,2015,88.9
1605000,Благовещенский муниципальный район,2016,89.5
1605000,Благовещенский муниципальный район,2017,84.7
1606000,Бурлинский муниципальный район,2014,19.3
1606000,Бурлинский муниципальный район,2015,24.6
1606000,Бурлинский муниципальный район,2016,14.5
1606000,Бурлинский муниципальный район,2017,14.5
1607000,Быстроистокский муниципальный район,2015,16.1
1607000,Быстроистокский муниципальный район,2016,15.9
1607000,Быстроистокский муниципальный район,2017,18.6
1608000,Волчихинский муниципальный район,2014,31.6
1608000,Волчихинский муниципальный район,2015,27.9
1608000,Волчихинский муниципальный район,2016,44.7
1608000,Волчихинский муниципальный район,2017,44.1
1609000,Егорьевский муниципальный район,2014,6.0
1609000,Егорьевский муниципальный район,2015,0.4
1609000,Егорьевский муниципальный район,2016,0.4
1609000,Егорьевский муниципальный район,2017,0.3
1610000,Ельцовский муниципальный район,2016,50.6
1611000,Завьяловский муниципальный район,2014,37.7
1611000,Завьяловский муниципальный район,2015,36.7
1611000,Завьяловский муниципальный район,2016,18.3
1611000,Завьяловский муниципальный район,2017,19.3
1612000,Залесовский муниципальный район,2014,5.9
1612000,Залесовский муниципальный район,2015,6.6
1612000,Залесовский муниципальный район,2016,5.7
1612000,Залесовский муниципальный район,2017,5.6
1613000,Заринский муниципальный район,2014,94.2
1613000,Заринский муниципальный район,2015,94.1
1613000,Заринский муниципальный район,2016,94.3
1613000,Заринский муниципальный район,2017,93.8
1614000,Змеиногорский муниципальный район,2014,23.4
1614000,Змеиногорский муниципальный район,2015,23.2
1614000,Змеиногорский муниципальный район,2016,26.3
1614000,Змеиногорский муниципальный район,2017,28.1
1615000,Калманский муниципальный район,2014,4.2
1615000,Калманский муниципальный район,2015,3.7
1616000,Каменский муниципальный район,2014,47.2
1616000,Каменский муниципальный район,2015,9.1
1616000,Каменский муниципальный район,2016,5.4
1616000,Каменский муниципальный район,2017,6.0
1617000,Ключевский муниципальный район,2014,41.4
1617000,Ключевский муниципальный район,2015,41.1
1617000,Ключевский муниципальный район,2016,41.1
1617000,Ключевский муниципальный район,2017,43.5
1619000,Красногорский муниципальный район,2014,24.5
1619000,Красногорский муниципальный район,2015,39.4
1619000,Красногорский муниципальный район,2016,36.4
1619000,Красногорский муниципальный район,2017,15.6
1620000,Краснощёковский муниципальный район,2014,49.3
1620000,Краснощёковский муниципальный район,2015,48.4
1620000,Краснощёковский муниципальный район,2016,42.4
1620000,Краснощёковский муниципальный район,2017,48.4
1621000,Крутихинский муниципальный район,2017,75.7
1622000,Кулундинский муниципальный район,2014,32.6
1622000,Кулундинский муниципальный район,2015,35.2
1622000,Кулундинский муниципальный район,2016,28.4
1622000,Кулундинский муниципальный район,2017,26.4
1623000,Курьинский муниципальный район,2015,21.4
1623000,Курьинский муниципальный район,2016,17.6
1623000,Курьинский муниципальный район,2017,12.0
1624000,Кытмановский муниципальный район,2014,1.9
1624000,Кытмановский муниципальный район,2015,1.9
1624000,Кытмановский муниципальный район,2016,6.0
1624000,Кытмановский муниципальный район,2017,6.0
1625000,Локтевский муниципальный район,2014,16.5
1625000,Локтевский муниципальный район,2015,17.5
1625000,Локтевский муниципальный район,2016,37.8
1625000,Локтевский муниципальный район,2017,52.7
