oktmo,name,year,pollutionvol
1601000,Алейский муниципальный район,2017,0.747
1602000,Алтайский муниципальный район,2014,0.758
1602000,Алтайский муниципальный район,2015,1.023
1602000,Алтайский муниципальный район,2016,1.293
1602000,Алтайский муниципальный район,2017,1.226
1603000,Баевский муниципальный район,2014,0.438
1603000,Баевский муниципальный район,2015,0.146
1603000,Баевский муниципальный район,2016,0.36
1603000,Баевский муниципальный район,2017,0.367
1604000,Бийский муниципальный район,2014,1.891
1604000,Бийский муниципальный район,2015,1.867
1604000,Бийский муниципальный район,2016,2.757
1604000,Бийский муниципальный район,2017,2.653
1605000,Благовещенский муниципальный район,2014,49.159
1605000,Благовещенский муниципальный район,2015,50.401
1605000,Благовещенский муниципальный район,2016,51.914
1605000,Благовещенский муниципальный район,2017,42.084
1606000,Бурлинский муниципальный район,2014,1.355
1606000,Бурлинский муниципальный район,2015,1.06
1606000,Бурлинский муниципальный район,2016,0.931
1606000,Бурлинский муниципальный район,2017,0.931
1607000,Быстроистокский муниципальный район,2014,0.491
1607000,Быстроистокский муниципальный район,2015,0.688
1607000,Быстроистокский муниципальный район,2016,0.693
1607000,Быстроистокский муниципальный район,2017,0.594
1608000,Волчихинский муниципальный район,2014,1.333
1608000,Волчихинский муниципальный район,2015,1.51
1608000,Волчихинский муниципальный район,2016,1.659
1608000,Волчихинский муниципальный район,2017,1.649
1609000,Егорьевский муниципальный район,2014,0.651
1609000,Егорьевский муниципальный район,2015,0.493
1609000,Егорьевский муниципальный район,2016,0.493
1609000,Егорьевский муниципальный район,2017,0.622
1610000,Ельцовский муниципальный район,2014,0.132
1610000,Ельцовский муниципальный район,2015,0.142
1610000,Ельцовский муниципальный район,2016,0.258
1610000,Ельцовский муниципальный район,2017,0.15
1611000,Завьяловский муниципальный район,2014,2.656
1611000,Завьяловский муниципальный район,2015,2.73
1611000,Завьяловский муниципальный район,2016,2.194
1611000,Завьяловский муниципальный район,2017,2.077
1612000,Залесовский муниципальный район,2014,0.392
1612000,Залесовский муниципальный район,2015,0.425
1612000,Залесовский муниципальный район,2016,0.408
1612000,Залесовский муниципальный район,2017,0.414
1613000,Заринский муниципальный район,2014,23.433
1613000,Заринский муниципальный район,2015,19.743
1613000,Заринский муниципальный район,2016,18.284
1613000,Заринский муниципальный район,2017,10.208
1614000,Змеиногорский муниципальный район,2014,2.366
1614000,Змеиногорский муниципальный район,2015,2.39
1614000,Змеиногорский муниципальный район,2016,2.699
1614000,Змеиногорский муниципальный район,2017,3.163
1615000,Калманский муниципальный район,2014,0.318
1615000,Калманский муниципальный район,2015,0.357
1615000,Калманский муниципальный район,2016,0.116
1615000,Калманский муниципальный район,2017,0.147
1616000,Каменский муниципальный район,2014,1.655
1616000,Каменский муниципальный район,2015,0.914
1616000,Каменский муниципальный район,2016,6.336
1616000,Каменский муниципальный район,2017,6.63
1617000,Ключевский муниципальный район,2014,1.845
1617000,Ключевский муниципальный район,2015,1.859
1617000,Ключевский муниципальный район,2016,1.859
1617000,Ключевский муниципальный район,2017,1.718
1618000,Косихинский муниципальный район,2014,0.183
1619000,Красногорский муниципальный район,2014,0.71
1619000,Красногорский муниципальный район,2015,0.673
1619000,Красногорский муниципальный район,2016,0.729
1619000,Красногорский муниципальный район,2017,0.583
1620000,Краснощёковский муниципальный район,2014,1.62
1620000,Краснощёковский муниципальный район,2015,1.747
1620000,Краснощёковский муниципальный район,2016,1.59
1620000,Краснощёковский муниципальный район,2017,1.392
1621000,Крутихинский муниципальный район,2017,3.025
1622000,Кулундинский муниципальный район,2014,3.843
1622000,Кулундинский муниципальный район,2015,3.67
1622000,Кулундинский муниципальный район,2016,3.089
1622000,Кулундинский муниципальный район,2017,3.003
1623000,Курьинский муниципальный район,2014,0.516
1623000,Курьинский муниципальный район,2015,0.546
1623000,Курьинский муниципальный район,2016,0.878
1623000,Курьинский муниципальный район,2017,1.286
1624000,Кытмановский муниципальный район,2014,0.82
1624000,Кытмановский муниципальный район,2015,0.818
1624000,Кытмановский муниципальный район,2016,0.94
1624000,Кытмановский муниципальный район,2017,0.956
1625000,Локтевский муниципальный район,2014,3.244
1625000,Локтевский муниципальный район,2015,3.161
1625000,Локтевский муниципальный район,2016,1.959
1625000,Локтевский муниципальный район,2017,2.413
1626000,Мамонтовский муниципальный район,2014,1.804
1626000,Мамонтовский муниципальный район,2015,1.966
1626000,Мамонтовский муниципальный район,2016,1.38
1626000,Мамонтовский муниципальный район,2017,1.375
1627000,Михайловский муниципальный район,2014,3.42
1627000,Михайловский муниципальный район,2015,2.788
1627000,Михайловский муниципальный район,2016,2.728
1627000,Михайловский муниципальный район,2017,2.801
1628000,Новичихинский муниципальный район,2014,0.778
1628000,Новичихинский муниципальный район,2015,0.821
