oktmo,name,year,socialaidcenters
1603000,Баевский муниципальный район,2006,1.0
1603000,Баевский муниципальный район,2007,1.0
1603000,Баевский муниципальный район,2008,1.0
1603000,Баевский муниципальный район,2009,1.0
1603000,Баевский муниципальный район,2010,1.0
1603000,Баевский муниципальный район,2011,1.0
1603000,Баевский муниципальный район,2012,1.0
1603000,Баевский муниципальный район,2013,1.0
1603000,Баевский муниципальный район,2014,1.0
1603407,Баевский сельсовет,2006,1.0
1603407,Баевский сельсовет,2007,1.0
1603407,Баевский сельсовет,2008,1.0
1603407,Баевский сельсовет,2009,1.0
1603407,Баевский сельсовет,2010,1.0
1603407,Баевский сельсовет,2011,1.0
1603407,Баевский сельсовет,2012,1.0
1603407,Баевский сельсовет,2013,1.0
1603407,Баевский сельсовет,2014,1.0
1604000,Бийский муниципальный район,2006,1.0
1604000,Бийский муниципальный район,2007,1.0
1604000,Бийский муниципальный район,2008,1.0
1604000,Бийский муниципальный район,2009,1.0
1604000,Бийский муниципальный район,2010,1.0
1604000,Бийский муниципальный район,2011,1.0
1604000,Бийский муниципальный район,2012,1.0
1604464,Новиковский сельсовет,2006,1.0
1604464,Новиковский сельсовет,2007,1.0
1604464,Новиковский сельсовет,2008,1.0
1604464,Новиковский сельсовет,2009,1.0
1604464,Новиковский сельсовет,2010,1.0
1604464,Новиковский сельсовет,2011,1.0
1604464,Новиковский сельсовет,2012,1.0
1605000,Благовещенский муниципальный район,2006,1.0
1605000,Благовещенский муниципальный район,2007,1.0
1605000,Благовещенский муниципальный район,2008,1.0
1605000,Благовещенский муниципальный район,2009,1.0
1605000,Благовещенский муниципальный район,2010,1.0
1605000,Благовещенский муниципальный район,2011,1.0
1605000,Благовещенский муниципальный район,2012,1.0
1605000,Благовещенский муниципальный район,2013,1.0
1605000,Благовещенский муниципальный район,2014,1.0
1605000,Благовещенский муниципальный район,2015,1.0
1605000,Благовещенский муниципальный район,2016,1.0
1605151,Благовещенский поссовет,2006,1.0
1605151,Благовещенский поссовет,2007,1.0
1605151,Благовещенский поссовет,2008,1.0
1605151,Благовещенский поссовет,2009,1.0
1605151,Благовещенский поссовет,2010,1.0
1605151,Благовещенский поссовет,2011,1.0
1605151,Благовещенский поссовет,2012,1.0
1605151,Благовещенский поссовет,2013,1.0
1605151,Благовещенский поссовет,2014,1.0
1605151,Благовещенский поссовет,2015,1.0
1605151,Благовещенский поссовет,2016,1.0
1606000,Бурлинский муниципальный район,2006,1.0
1606000,Бурлинский муниципальный район,2007,1.0
1606000,Бурлинский муниципальный район,2008,1.0
1606000,Бурлинский муниципальный район,2009,1.0
1606000,Бурлинский муниципальный район,2010,1.0
1606000,Бурлинский муниципальный район,2011,1.0
1606000,Бурлинский муниципальный район,2012,1.0
1606000,Бурлинский муниципальный район,2013,1.0
1606411,Бурлинский сельсовет,2006,1.0
1606411,Бурлинский сельсовет,2007,1.0
1606411,Бурлинский сельсовет,2008,1.0
1606411,Бурлинский сельсовет,2009,1.0
1606411,Бурлинский сельсовет,2010,1.0
1606411,Бурлинский сельсовет,2011,1.0
1606411,Бурлинский сельсовет,2012,1.0
1606411,Бурлинский сельсовет,2013,1.0
1607000,Быстроистокский муниципальный район,2008,1.0
1607000,Быстроистокский муниципальный район,2009,1.0
1607000,Быстроистокский муниципальный район,2010,1.0
1607000,Быстроистокский муниципальный район,2011,1.0
1607000,Быстроистокский муниципальный район,2012,1.0
1607000,Быстроистокский муниципальный район,2013,1.0
1607000,Быстроистокский муниципальный район,2014,1.0
1607000,Быстроистокский муниципальный район,2015,1.0
1607000,Быстроистокский муниципальный район,2016,1.0
1607405,Быстроистокский сельсовет,2007,1.0
1607405,Быстроистокский сельсовет,2008,1.0
1607405,Быстроистокский сельсовет,2009,1.0
1607405,Быстроистокский сельсовет,2010,1.0
1607405,Быстроистокский сельсовет,2011,1.0
1607405,Быстроистокский сельсовет,2012,1.0
1607405,Быстроистокский сельсовет,2013,1.0
1607405,Быстроистокский сельсовет,2014,1.0
1607405,Быстроистокский сельсовет,2015,1.0
1607405,Быстроистокский сельсовет,2016,1.0
1608000,Волчихинский муниципальный район,2006,1.0
1608000,Волчихинский муниципальный район,2011,1.0
1608000,Волчихинский муниципальный район,2012,1.0
1608000,Волчихинский муниципальный район,2013,1.0
1608000,Волчихинский муниципальный район,2014,1.0
1608421,Волчихинский сельсовет,2006,1.0
1608421,Волчихинский сельсовет,2011,1.0
1608421,Волчихинский сельсовет,2012,1.0
1608421,Волчихинский сельсовет,2013,1.0
1608421,Волчихинский сельсовет,2014,1.0
1610000,Ельцовский муниципальный район,2006,1.0
1610000,Ельцовский муниципальный район,2007,1.0
1610000,Ельцовский муниципальный район,2008,1.0
