oktmo,name,year,socialaidcenterscap
1601000,Алейский муниципальный район,2006,110.0
1601000,Алейский муниципальный район,2007,65.0
1601000,Алейский муниципальный район,2008,65.0
1601000,Алейский муниципальный район,2009,65.0
1601000,Алейский муниципальный район,2010,65.0
1601000,Алейский муниципальный район,2011,65.0
1601000,Алейский муниципальный район,2012,65.0
1601000,Алейский муниципальный район,2013,90.0
1601000,Алейский муниципальный район,2014,101.0
1601000,Алейский муниципальный район,2015,94.0
1601000,Алейский муниципальный район,2016,95.0
1601000,Алейский муниципальный район,2017,102.0
1601417,Боровской сельсовет,2006,10.0
1601420,Дружбинский сельсовет,2006,35.0
1601420,Дружбинский сельсовет,2007,35.0
1601420,Дружбинский сельсовет,2008,35.0
1601420,Дружбинский сельсовет,2009,35.0
1601420,Дружбинский сельсовет,2010,35.0
1601420,Дружбинский сельсовет,2011,35.0
1601420,Дружбинский сельсовет,2012,35.0
1601420,Дружбинский сельсовет,2013,60.0
1601420,Дружбинский сельсовет,2014,71.0
1601420,Дружбинский сельсовет,2015,66.0
1601420,Дружбинский сельсовет,2016,69.0
1601420,Дружбинский сельсовет,2017,73.0
1601438,Кировский сельсовет,2006,30.0
1601438,Кировский сельсовет,2007,30.0
1601438,Кировский сельсовет,2008,30.0
1601438,Кировский сельсовет,2009,30.0
1601438,Кировский сельсовет,2010,30.0
1601438,Кировский сельсовет,2011,30.0
1601438,Кировский сельсовет,2012,30.0
1601438,Кировский сельсовет,2013,30.0
1601438,Кировский сельсовет,2014,30.0
1601438,Кировский сельсовет,2015,28.0
1601438,Кировский сельсовет,2016,26.0
1601438,Кировский сельсовет,2017,29.0
1601464,Моховской сельсовет,2006,10.0
1601468,Осколковский сельсовет,2006,10.0
1601473,Плотавский сельсовет,2006,15.0
1602000,Алтайский муниципальный район,2006,30.0
1602000,Алтайский муниципальный район,2007,55.0
1602000,Алтайский муниципальный район,2008,55.0
1602000,Алтайский муниципальный район,2009,55.0
1602000,Алтайский муниципальный район,2010,55.0
1602000,Алтайский муниципальный район,2011,55.0
1602000,Алтайский муниципальный район,2012,55.0
1602000,Алтайский муниципальный район,2013,55.0
1602000,Алтайский муниципальный район,2014,55.0
1602000,Алтайский муниципальный район,2015,47.0
1602000,Алтайский муниципальный район,2016,50.0
1602000,Алтайский муниципальный район,2017,51.0
1602407,Алтайский сельсовет,2006,30.0
1602407,Алтайский сельсовет,2007,55.0
1602407,Алтайский сельсовет,2008,55.0
1602407,Алтайский сельсовет,2009,55.0
1602407,Алтайский сельсовет,2010,55.0
1602407,Алтайский сельсовет,2011,55.0
1602407,Алтайский сельсовет,2012,55.0
1602407,Алтайский сельсовет,2013,55.0
1602407,Алтайский сельсовет,2014,55.0
1602407,Алтайский сельсовет,2015,47.0
1602407,Алтайский сельсовет,2016,50.0
1602407,Алтайский сельсовет,2017,51.0
1604000,Бийский муниципальный район,2006,20.0
1604000,Бийский муниципальный район,2008,20.0
1604000,Бийский муниципальный район,2009,20.0
1604000,Бийский муниципальный район,2010,20.0
1604000,Бийский муниципальный район,2011,20.0
1604000,Бийский муниципальный район,2012,20.0
1604464,Новиковский сельсовет,2006,20.0
1604464,Новиковский сельсовет,2008,20.0
1604464,Новиковский сельсовет,2009,20.0
1604464,Новиковский сельсовет,2010,20.0
1604464,Новиковский сельсовет,2011,20.0
1604464,Новиковский сельсовет,2012,20.0
1605000,Благовещенский муниципальный район,2006,82.0
1605000,Благовещенский муниципальный район,2007,82.0
1605000,Благовещенский муниципальный район,2008,62.0
1605000,Благовещенский муниципальный район,2009,75.0
1605000,Благовещенский муниципальный район,2010,75.0
1605000,Благовещенский муниципальный район,2011,75.0
1605000,Благовещенский муниципальный район,2012,75.0
1605000,Благовещенский муниципальный район,2013,75.0
1605000,Благовещенский муниципальный район,2014,75.0
