oktmo,name,year,socialaidhomeservices
1601000,Алейский муниципальный район,2006,2.0
1601000,Алейский муниципальный район,2007,2.0
1601000,Алейский муниципальный район,2008,2.0
1601000,Алейский муниципальный район,2009,2.0
1601000,Алейский муниципальный район,2010,2.0
1601000,Алейский муниципальный район,2011,2.0
1601000,Алейский муниципальный район,2012,2.0
1601000,Алейский муниципальный район,2013,2.0
1601000,Алейский муниципальный район,2014,2.0
1601000,Алейский муниципальный район,2015,2.0
1601000,Алейский муниципальный район,2016,2.0
1601417,Боровской сельсовет,2006,1.0
1601417,Боровской сельсовет,2007,1.0
1601417,Боровской сельсовет,2008,1.0
1601417,Боровской сельсовет,2009,1.0
1601417,Боровской сельсовет,2010,1.0
1601417,Боровской сельсовет,2011,1.0
1601417,Боровской сельсовет,2012,1.0
1601417,Боровской сельсовет,2013,1.0
1601417,Боровской сельсовет,2014,1.0
1601417,Боровской сельсовет,2015,1.0
1601417,Боровской сельсовет,2016,1.0
1601420,Дружбинский сельсовет,2006,1.0
1601420,Дружбинский сельсовет,2007,1.0
1601420,Дружбинский сельсовет,2008,1.0
1601420,Дружбинский сельсовет,2009,1.0
1601420,Дружбинский сельсовет,2010,1.0
1601420,Дружбинский сельсовет,2011,1.0
1601420,Дружбинский сельсовет,2012,1.0
1601420,Дружбинский сельсовет,2013,1.0
1601420,Дружбинский сельсовет,2014,1.0
1601420,Дружбинский сельсовет,2015,1.0
1601420,Дружбинский сельсовет,2016,1.0
1602000,Алтайский муниципальный район,2006,3.0
1602000,Алтайский муниципальный район,2007,3.0
1602000,Алтайский муниципальный район,2008,3.0
1602000,Алтайский муниципальный район,2009,3.0
1602000,Алтайский муниципальный район,2010,3.0
1602000,Алтайский муниципальный район,2011,3.0
1602000,Алтайский муниципальный район,2012,2.0
1602000,Алтайский муниципальный район,2013,2.0
1602000,Алтайский муниципальный район,2014,2.0
1602000,Алтайский муниципальный район,2015,2.0
1602407,Алтайский сельсовет,2006,3.0
1602407,Алтайский сельсовет,2007,3.0
1602407,Алтайский сельсовет,2008,3.0
1602407,Алтайский сельсовет,2009,3.0
1602407,Алтайский сельсовет,2010,3.0
1602407,Алтайский сельсовет,2011,3.0
1602407,Алтайский сельсовет,2012,2.0
1602407,Алтайский сельсовет,2013,2.0
1602407,Алтайский сельсовет,2014,2.0
1602407,Алтайский сельсовет,2015,2.0
1603000,Баевский муниципальный район,2006,1.0
1603000,Баевский муниципальный район,2007,1.0
1603000,Баевский муниципальный район,2008,1.0
1603000,Баевский муниципальный район,2009,1.0
1603000,Баевский муниципальный район,2010,1.0
1603000,Баевский муниципальный район,2011,1.0
1603000,Баевский муниципальный район,2012,1.0
1603000,Баевский муниципальный район,2013,1.0
1603000,Баевский муниципальный район,2014,1.0
1603000,Баевский муниципальный район,2015,1.0
1603000,Баевский муниципальный район,2016,1.0
1603407,Баевский сельсовет,2006,1.0
1603407,Баевский сельсовет,2007,1.0
1603407,Баевский сельсовет,2008,1.0
1603407,Баевский сельсовет,2009,1.0
1603407,Баевский сельсовет,2010,1.0
1603407,Баевский сельсовет,2011,1.0
1603407,Баевский сельсовет,2012,1.0
1603407,Баевский сельсовет,2013,1.0
1603407,Баевский сельсовет,2014,1.0
1603407,Баевский сельсовет,2015,1.0
1603407,Баевский сельсовет,2016,1.0
1604000,Бийский муниципальный район,2006,2.0
1604000,Бийский муниципальный район,2007,2.0
1604000,Бийский муниципальный район,2008,2.0
1604000,Бийский муниципальный район,2009,2.0
1604000,Бийский муниципальный район,2010,2.0
1604000,Бийский муниципальный район,2012,1.0
1604464,Новиковский сельсовет,2006,2.0
1604464,Новиковский сельсовет,2007,2.0
1604464,Новиковский сельсовет,2008,2.0
1604464,Новиковский сельсовет,2009,2.0
1604464,Новиковский сельсовет,2010,2.0
1604464,Новиковский сельсовет,2012,1.0
1605000,Благовещенский муниципальный район,2006,4.0
1605000,Благовещенский муниципальный район,2007,3.0
1605000,Благовещенский муниципальный район,2008,4.0
1605000,Благовещенский муниципальный район,2009,2.0
1605000,Благовещенский муниципальный район,2010,2.0
1605000,Благовещенский муниципальный район,2011,3.0
1605000,Благовещенский муниципальный район,2012,3.0
1605000,Благовещенский муниципальный район,2013,4.0
1605000,Благовещенский муниципальный район,2014,3.0
1605000,Благовещенский муниципальный район,2015,3.0
1605000,Благовещенский муниципальный район,2016,3.0
