oktmo,name,year,sportschool
1601000,Алейский муниципальный район,2009,1.0
1601000,Алейский муниципальный район,2010,1.0
1601000,Алейский муниципальный район,2011,1.0
1601000,Алейский муниципальный район,2012,1.0
1601000,Алейский муниципальный район,2013,1.0
1601000,Алейский муниципальный район,2014,1.0
1601000,Алейский муниципальный район,2015,1.0
1601000,Алейский муниципальный район,2016,1.0
1601000,Алейский муниципальный район,2017,1.0
1601477,Совхозный сельсовет,2009,1.0
1601477,Совхозный сельсовет,2010,1.0
1601477,Совхозный сельсовет,2011,1.0
1601477,Совхозный сельсовет,2012,1.0
1601477,Совхозный сельсовет,2013,1.0
1601477,Совхозный сельсовет,2014,1.0
1601477,Совхозный сельсовет,2015,1.0
1601477,Совхозный сельсовет,2016,1.0
1601477,Совхозный сельсовет,2017,1.0
1602000,Алтайский муниципальный район,2006,1.0
1602000,Алтайский муниципальный район,2007,1.0
1602000,Алтайский муниципальный район,2008,1.0
1602000,Алтайский муниципальный район,2009,1.0
1602000,Алтайский муниципальный район,2010,1.0
1602000,Алтайский муниципальный район,2011,1.0
1602000,Алтайский муниципальный район,2012,1.0
1602000,Алтайский муниципальный район,2013,1.0
1602000,Алтайский муниципальный район,2014,1.0
1602000,Алтайский муниципальный район,2015,1.0
1602000,Алтайский муниципальный район,2016,1.0
1602000,Алтайский муниципальный район,2017,1.0
1602000,Алтайский муниципальный район,2019,1.0
1602000,Алтайский муниципальный район,2020,1.0
1602000,Алтайский муниципальный район,2021,1.0
1602000,Алтайский муниципальный район,2022,1.0
1602407,Алтайский сельсовет,2006,1.0
1602407,Алтайский сельсовет,2007,1.0
1602407,Алтайский сельсовет,2008,1.0
1602407,Алтайский сельсовет,2009,1.0
1602407,Алтайский сельсовет,2010,1.0
1602407,Алтайский сельсовет,2011,1.0
1602407,Алтайский сельсовет,2012,1.0
1602407,Алтайский сельсовет,2013,1.0
1602407,Алтайский сельсовет,2014,1.0
1602407,Алтайский сельсовет,2015,1.0
1602407,Алтайский сельсовет,2016,1.0
1602407,Алтайский сельсовет,2017,1.0
1602407,Алтайский сельсовет,2019,1.0
1602407,Алтайский сельсовет,2020,1.0
1602407,Алтайский сельсовет,2021,1.0
1602407,Алтайский сельсовет,2022,1.0
1603000,Баевский муниципальный район,2007,1.0
1603000,Баевский муниципальный район,2008,1.0
1603000,Баевский муниципальный район,2009,1.0
1603000,Баевский муниципальный район,2010,1.0
1603000,Баевский муниципальный район,2011,1.0
1603000,Баевский муниципальный район,2012,1.0
1603000,Баевский муниципальный район,2013,1.0
1603000,Баевский муниципальный район,2014,1.0
1603000,Баевский муниципальный район,2015,1.0
1603000,Баевский муниципальный район,2016,1.0
